,dealer_card,dealer_value,dealer_bust,init_hand,hit,result,outcome
686,5,25,1,11,2,-1.0,0
687,3,26,1,16,1,-1.0,0
688,6,22,1,17,1,1.0,1
689,4,22,1,10,3,-1.0,0
690,K,21,0,15,0,-1.0,1
691,Q,21,0,14,2,-1.0,0
692,6,22,1,17,1,-1.0,0
693,K,22,1,11,3,-1.0,0
694,3,22,1,19,2,1.0,1
695,A,21,0,14,0,-1.0,1
696,2,22,1,13,1,-1.0,0
697,7,17,0,14,3,-1.0,0
698,Q,24,1,20,1,-1.0,0
699,5,20,0,12,4,-1.0,0
700,6,17,0,20,2,-1.0,0
701,A,19,0,13,1,1.0,1
702,6,20,0,14,1,-1.0,0
703,7,23,1,18,1,-1.0,0
704,10,21,0,18,0,-1.0,1
705,A,20,0,16,1,-1.0,0
706,J,17,0,12,1,-1.0,0
707,8,18,0,12,2,-1.0,0
708,8,19,0,14,1,-1.0,0
709,6,22,1,17,1,-1.0,0
710,9,18,0,10,2,-1.0,0
711,5,21,0,20,1,-1.0,0
712,Q,20,0,14,0,-1.0,1
713,J,23,1,12,2,1.0,1
714,5,26,1,19,1,-1.0,0
715,4,20,0,13,2,-1.0,0
716,A,21,0,14,2,0.0,1
717,10,19,0,18,1,-1.0,0
718,K,19,0,12,0,-1.0,1
719,3,20,0,17,1,-1.0,0
720,J,19,0,17,1,-1.0,0
721,A,21,0,5,0,-1.0,1
722,Q,19,0,20,1,-1.0,0
723,Q,18,0,17,1,-1.0,0
724,Q,21,0,8,0,-1.0,1
725,2,21,0,12,1,0.0,1
726,6,23,1,14,4,-1.0,0
727,7,20,0,7,2,-1.0,0
728,8,18,0,13,2,-1.0,0
729,6,17,0,16,1,-1.0,0
730,9,19,0,13,0,-1.0,1
731,10,21,0,6,0,-1.0,1
