,dealer_card,dealer_value,dealer_bust,init_hand,hit,result,outcome,,Epoc Number,20,30,40,50,200
399,8,17,0,14,2,-1,0,,,,,,,
400,8,26,1,12,2,-1,0,,,,,,,
401,10,20,0,20,1,1,1,,,,,,,
402,10,21,0,14,0,-1,1,,,,,,,
403,7,17,0,9,1,-1,0,,,,,,,
404,10,18,0,18,1,-1,0,,,,,,,
405,9,17,0,12,0,-1,1,,,,,,,
406,10,25,1,20,1,-1,0,,,,,,,
407,3,24,1,21,0,1,0,,,,,,,
408,J,21,0,14,0,-1,1,,,,,,,
409,K,18,0,21,0,1,0,,,,,,,
410,4,24,1,21,0,1,0,,,,,,,
411,4,22,1,12,0,1,0,,,,,,,
412,K,22,1,9,2,-1,0,,,,,,,
413,A,21,0,21,0,0,0,,,,,,,
414,2,26,1,7,2,-1,0,,,,,,,
415,9,21,0,13,2,-1,0,,,,,,,
416,K,20,0,15,0,-1,1,,,,,,,
417,4,20,0,20,1,-1,0,,,,,,,
418,4,19,0,8,3,-1,0,,,,,,,
419,7,23,1,16,2,-1,0,,,,,,,
420,A,21,0,14,0,-1,1,,,,,,,
421,Q,25,1,16,1,1,1,,,,,,,
422,6,26,1,8,1,1,1,,,,,,,
423,2,25,1,12,2,1,1,,,,,,,
424,4,20,0,20,1,-1,0,,,,,,,
425,9,19,0,12,1,1,1,,,,,,,
426,A,18,0,15,1,1,1,,,,,,,
427,10,26,1,12,1,-1,0,,,,,,,
428,8,20,0,14,1,-1,0,,,,,,,
429,10,17,0,7,3,-1,0,,,,,,,
430,10,24,1,14,1,-1,0,,,,,,,
431,6,26,1,19,2,-1,0,,,,,,,
432,9,17,0,19,1,1,1,,,,,,,
433,5,21,0,17,2,-1,0,,,,,,,
434,A,25,1,11,1,1,1,,,,,,,
435,9,19,0,16,2,-1,0,,,,,,,
436,9,23,1,16,1,-1,0,,,,,,,
437,K,24,1,13,1,-1,0,,,,,,,
438,Q,25,1,21,0,1,0,,,,,,,
439,3,23,1,10,2,-1,0,,,,,,,
440,K,20,0,19,0,-1,1,,,,,,,
441,3,17,0,15,1,-1,0,,,,,,,
442,9,18,0,15,2,-1,0,,,,,,,
443,4,20,0,14,3,-1,0,,,,,,,
444,4,17,0,11,2,1,1,,,,,,,
445,K,20,0,14,0,-1,1,,,,,,,
446,A,17,0,18,1,-1,0,,,,,,,
447,Q,19,0,15,0,-1,1,,,,,,,
448,2,21,0,18,0,-1,1,,,,,,,
449,4,25,1,14,1,-1,0,,,,,,,
450,J,20,0,7,1,-1,0,,,,,,,
451,A,21,0,15,1,-1,0,,,,,,,
452,Q,18,0,12,3,-1,0,,,,,,,
453,5,25,1,15,1,-1,0,,,,,,,
454,A,21,0,9,2,0,1,,,,,,,
455,4,23,1,18,1,-1,0,,,,,,,
456,2,21,0,7,2,-1,0,,,,,,,
457,4,24,1,12,0,1,0,,,,,,,
458,J,17,0,11,1,1,1,,,,,,,
459,9,18,0,6,1,-1,0,,,,,,,
460,10,20,0,13,0,-1,1,,,,,,,
461,A,19,0,21,0,1,0,,,,,,,
462,4,22,1,20,1,-1,0,,,,,,,
463,10,18,0,12,0,-1,1,,,,,,,
464,6,19,0,18,1,-1,0,,,,,,,
465,Q,20,0,14,1,-1,0,,,,,,,
466,A,19,0,15,0,-1,1,,,,,,,
467,5,17,0,6,3,-1,0,,,,,,,
468,A,21,0,15,0,-1,1,,,,,,,
469,Q,18,0,13,0,-1,1,,,,,,,
470,Q,20,0,17,0,-1,1,,,,,,,
471,9,23,1,15,1,-1,0,,,,,,,
472,J,20,0,11,1,1,1,,,,,,,
473,5,18,0,21,0,1,0,,,,,,,
474,K,21,0,17,1,-1,0,,,,,,,
475,7,18,0,12,0,-1,1,,,,,,,
476,5,18,0,17,4,-1,0,,,,,,,
477,3,20,0,14,2,-1,0,,,,,,,
478,8,22,1,15,1,1,1,,,,,,,
479,9,19,0,19,1,-1,0,,,,,,,
480,3,21,0,14,1,0,1,,,,,,,
481,J,17,0,11,1,1,1,,,,,,,
482,9,19,0,15,0,-1,1,,,,,,,
483,6,19,0,12,0,-1,1,,,,,,,
484,8,19,0,11,1,1,1,,,,,,,
485,Q,22,1,16,1,-1,0,,,,,,,
486,3,19,0,12,1,-1,0,,,,,,,
487,8,18,0,15,0,-1,1,,,,,,,
488,7,25,1,13,0,1,0,,,,,,,
489,9,23,1,7,2,-1,0,,,,,,,
490,J,22,1,20,1,-1,0,,,,,,,
491,A,21,0,18,0,-1,1,,,,,,,
492,2,21,0,14,2,-1,0,,,,,,,
493,K,20,0,13,0,-1,1,,,,,,,
494,8,18,0,16,0,-1,1,,,,,,,
495,4,24,1,19,2,-1,0,,,,,,,
496,J,17,0,15,0,-1,1,,,,,,,
497,5,18,0,15,1,-1,0,,,,,,,
498,10,20,0,12,1,-1,0,,,,,,,
499,4,17,0,16,2,-1,0,,,,,,,
500,J,26,1,4,2,-1,0,,,,,,,
501,4,22,1,17,1,-1,0,,,,,,,
502,Q,21,0,20,0,-1,1,,,,,,,
503,5,21,0,11,4,-1,0,,,,,,,
504,J,19,0,15,0,-1,1,,,,,,,
505,6,21,0,5,3,-1,0,,,,,,,
506,J,20,0,15,0,-1,1,,,,,,,
507,5,18,0,12,1,-1,0,,,,,,,
508,7,18,0,19,2,-1,0,,,,,,,
509,8,22,1,9,3,-1,0,,,,,,,
510,9,18,0,13,0,-1,1,,,,,,,
511,K,19,0,18,1,-1,0,,,,,,,
512,7,23,1,12,1,-1,0,,,,,,,
513,7,18,0,8,2,-1,0,,,,,,,
514,10,18,0,18,1,-1,0,,,,,,,
515,10,21,0,11,0,-1,1,,,,,,,
516,5,17,0,20,1,-1,0,,,,,,,
517,J,19,0,14,0,-1,1,,,,,,,
518,3,22,1,13,1,-1,0,,,,,,,
519,K,19,0,7,1,-1,0,,,,,,,
520,5,18,0,15,1,-1,0,,,,,,,
521,Q,20,0,5,1,-1,0,,,,,,,
522,9,18,0,5,1,-1,0,,,,,,,
523,Q,22,1,17,1,-1,0,,,,,,,
524,A,18,0,18,1,-1,0,,,,,,,
525,5,19,0,8,3,-1,0,,,,,,,
526,K,20,0,14,0,-1,1,,,,,,,
527,9,20,0,14,2,-1,0,,,,,,,
528,Q,20,0,17,0,-1,1,,,,,,,
529,7,19,0,15,2,1,1,,,,,,,
530,3,22,1,20,0,1,0,,,,,,,
531,2,20,0,20,0,0,0,,,,,,,
532,3,19,0,19,2,-1,0,,,,,,,
533,J,24,1,7,3,-1,0,,,,,,,
534,4,17,0,17,2,-1,0,,,,,,,
535,6,21,0,21,0,0,0,,,,,,,
536,K,21,0,18,0,-1,1,,,,,,,
537,5,18,0,13,2,-1,0,,,,,,,
538,9,19,0,8,2,-1,0,,,,,,,
539,9,19,0,19,2,-1,0,,,,,,,
540,6,17,0,17,2,1,1,,,,,,,
541,10,17,0,18,1,-1,0,,,,,,,
542,7,21,0,20,1,-1,0,,,,,,,
543,2,18,0,16,1,-1,0,,,,,,,
544,6,21,0,12,1,-1,0,,,,,,,
545,2,17,0,16,2,-1,0,,,,,,,
546,2,24,1,12,1,1,1,,,,,,,
547,Q,21,0,19,0,-1,1,,,,,,,
548,6,25,1,12,0,1,0,,,,,,,
549,3,22,1,18,3,-1,0,,,,,,,
550,9,19,0,11,2,-1,0,,,,,,,
551,7,17,0,14,0,-1,1,,,,,,,
552,9,17,0,14,0,-1,1,,,,,,,
553,A,23,1,20,1,-1,0,,,,,,,
554,2,23,1,20,0,1,0,,,,,,,
555,9,18,0,12,0,-1,1,,,,,,,
556,5,17,0,10,2,-1,0,,,,,,,
557,7,20,0,12,1,-1,0,,,,,,,
558,2,22,1,20,0,1,0,,,,,,,
559,K,18,0,13,1,-1,0,,,,,,,
560,Q,17,0,11,2,-1,0,,,,,,,
561,6,20,0,11,2,-1,0,,,,,,,
562,9,19,0,15,0,-1,1,,,,,,,
563,7,24,1,18,1,-1,0,,,,,,,
564,10,20,0,16,0,-1,1,,,,,,,
565,6,18,0,14,0,-1,1,,,,,,,
566,6,24,1,18,2,-1,0,,,,,,,
567,J,19,0,13,0,-1,1,,,,,,,
568,5,21,0,10,3,-1,0,,,,,,,
569,7,17,0,14,0,-1,1,,,,,,,
