,dealer_card,dealer_estimated_value,dealer_bust,init_hand,hit,result,outcome
651,10,15,0,15,1,-1.0,0
652,5,11,0,15,1,-1.0,0
653,Q,7,0,12,0,-1.0,1
654,8,7,1,14,1,1.0,1
655,6,2,0,14,1,1.0,1
656,6,10,0,17,0,1.0,0
657,9,20,0,21,0,1.0,0
658,8,10,0,19,0,-1.0,1
659,6,13,0,20,0,1.0,0
660,Q,13,1,6,2,1.0,1
661,K,20,0,13,0,-1.0,1
662,6,10,1,15,1,1.0,1
663,3,4,0,20,0,1.0,0
664,A,17,0,16,1,-1.0,0
665,J,11,0,16,0,-1.0,1
666,4,3,0,17,1,-1.0,0
667,9,8,0,4,1,-1.0,0
668,5,5,1,21,0,1.0,0
669,2,1,0,21,0,1.0,0
670,2,15,0,18,1,-1.0,0
671,7,18,0,7,2,-1.0,0
672,4,15,1,20,0,1.0,0
673,Q,19,0,5,2,-1.0,0
674,2,5,0,17,1,-1.0,0
675,3,3,0,4,2,-1.0,0
676,7,16,0,19,0,1.0,0
677,4,6,0,10,2,-1.0,0
678,6,6,1,21,0,1.0,0
679,7,13,0,15,1,-1.0,0
680,A,11,0,16,0,-1.0,1
681,3,2,1,20,0,1.0,0
682,5,8,0,11,3,-1.0,0
683,4,3,0,19,0,1.0,0
684,Q,19,0,15,3,-1.0,0
685,4,15,1,14,2,-1.0,0
686,Q,22,0,12,0,-1.0,1
687,A,21,0,21,0,1.0,0
688,3,13,0,13,1,-1.0,0
689,Q,12,0,15,1,-1.0,0
690,2,9,1,15,1,1.0,1
691,8,15,0,10,1,1.0,1
692,3,10,1,12,2,1.0,1
693,4,8,1,15,1,-1.0,0
694,A,16,0,13,0,-1.0,1
695,3,8,1,17,2,-1.0,0
696,7,11,0,7,2,1.0,1
697,8,7,1,17,0,1.0,0
698,6,10,0,20,0,1.0,0
699,Q,16,0,4,2,1.0,1
700,J,15,1,12,2,-1.0,0
701,2,4,0,15,1,-1.0,0
702,7,13,0,16,1,-1.0,0
703,9,16,0,18,1,-1.0,0
704,K,9,0,21,0,1.0,0
705,9,11,0,20,0,1.0,0
706,J,8,1,16,0,1.0,0
707,Q,13,0,12,3,-1.0,0
708,6,4,0,20,0,-1.0,1
709,A,6,1,18,0,1.0,0
710,7,9,1,20,0,1.0,0
711,Q,5,1,6,1,1.0,1
712,J,22,0,15,2,-1.0,0
713,J,21,0,20,0,1.0,0
714,J,20,0,20,0,1.0,0
715,J,21,0,20,0,-1.0,1
716,2,7,0,20,0,1.0,0
717,4,6,0,19,0,1.0,0
718,3,8,0,6,2,-1.0,0
719,7,10,1,19,0,1.0,0
720,5,12,1,21,0,1.0,0
721,10,8,1,13,0,1.0,0
722,J,13,0,11,2,-1.0,0
723,5,2,1,20,0,1.0,0
724,9,11,0,17,0,1.0,0
725,3,-1,1,8,1,1.0,1
726,5,11,0,10,2,1.0,1
727,6,9,0,18,0,1.0,0
728,3,13,1,14,1,1.0,1
729,A,21,0,20,0,-1.0,1
730,8,17,0,6,2,-1.0,0
731,9,12,1,12,1,-1.0,0
732,7,15,0,9,2,-1.0,0
733,J,9,1,20,0,1.0,0
734,8,15,0,20,0,1.0,0
735,3,10,0,12,1,1.0,1
736,2,7,0,18,0,1.0,0
737,7,7,1,14,1,1.0,1
738,K,15,0,16,0,-1.0,1
739,J,7,1,14,0,1.0,0
740,9,9,1,16,0,1.0,0
741,8,12,0,19,0,1.0,0
742,2,7,0,12,1,1.0,1
