,dealer_card,dealer_value,dealer_bust,init_hand,hit,result,outcome
512,8,24,1,17,0,1.0,0
513,5,25,1,13,0,1.0,0
514,2,24,1,14,0,1.0,0
515,6,21,0,17,0,-1.0,1
516,5,20,0,19,0,-1.0,1
517,5,24,1,18,0,1.0,0
518,5,26,1,21,0,1.0,0
519,J,26,1,19,0,1.0,0
520,2,19,0,11,0,-1.0,1
521,4,24,1,12,0,1.0,0
522,2,17,0,16,0,-1.0,1
523,4,21,0,13,0,-1.0,1
524,6,23,1,18,0,1.0,0
525,9,20,0,20,0,0.0,0
526,5,19,0,13,0,-1.0,1
527,6,26,1,15,0,1.0,0
528,Q,25,1,7,1,1.0,1
529,K,24,1,17,0,1.0,0
530,K,21,0,17,0,-1.0,1
531,8,21,0,17,0,-1.0,1
532,A,19,0,15,0,-1.0,1
533,8,19,0,13,0,-1.0,1
534,8,19,0,12,0,-1.0,1
535,J,20,0,9,0,-1.0,1
536,7,17,0,7,1,1.0,1
537,7,17,0,16,0,-1.0,1
538,4,18,0,21,0,1.0,0
539,Q,18,0,18,0,0.0,0
540,3,25,1,9,0,1.0,0
541,10,20,0,7,0,-1.0,1
542,J,22,1,17,0,1.0,0
543,5,18,0,8,0,-1.0,1
544,A,24,1,21,0,1.0,0
545,K,21,0,12,0,-1.0,1
546,A,21,0,13,0,-1.0,1
547,K,18,0,12,0,-1.0,1
548,J,17,0,13,0,-1.0,1
549,10,21,0,21,0,0.0,0
550,A,20,0,20,0,0.0,0
551,3,21,0,14,0,-1.0,1
552,10,21,0,10,0,-1.0,1
553,6,18,0,17,0,-1.0,1
554,4,18,0,11,1,-1.0,0
555,9,24,1,9,1,1.0,1
556,5,19,0,7,0,-1.0,1
557,10,20,0,20,0,0.0,0
558,10,20,0,18,0,-1.0,1
559,K,20,0,8,1,-1.0,0
560,Q,19,0,4,1,-1.0,0
561,Q,17,0,14,0,-1.0,1
562,A,17,0,21,0,1.0,0
563,6,17,0,6,1,-1.0,0
564,Q,21,0,20,0,-1.0,1
565,2,23,1,17,0,1.0,0
566,6,17,0,8,0,-1.0,1
567,9,18,0,12,0,-1.0,1
568,3,23,1,20,0,1.0,0
569,2,18,0,17,0,-1.0,1
570,3,22,1,17,0,1.0,0
571,K,20,0,17,0,-1.0,1
572,6,20,0,16,0,-1.0,1
573,9,18,0,12,0,-1.0,1
574,Q,19,0,7,1,-1.0,0
575,K,20,0,19,0,-1.0,1
576,9,18,0,18,0,0.0,0
577,4,18,0,16,0,-1.0,1
578,10,20,0,15,0,-1.0,1
579,K,20,0,7,1,-1.0,0
580,7,19,0,16,0,-1.0,1
581,J,18,0,12,0,-1.0,1
582,K,19,0,18,0,-1.0,1
583,5,21,0,14,0,-1.0,1
584,8,19,0,17,0,-1.0,1
585,6,18,0,11,0,-1.0,1
586,Q,24,1,20,0,1.0,0
587,9,19,0,8,1,1.0,1
588,6,24,1,12,0,1.0,0
589,5,24,1,14,0,1.0,0
590,Q,21,0,10,0,-1.0,1
591,K,24,1,19,0,1.0,0
592,4,24,1,7,1,1.0,1
593,9,25,1,12,0,1.0,0
594,8,18,0,18,0,0.0,0
595,8,17,0,16,0,-1.0,1
596,A,21,0,19,0,-1.0,1
597,3,21,0,12,0,-1.0,1
598,3,23,1,19,0,1.0,0
599,A,21,0,18,0,-1.0,1
600,2,22,1,16,0,1.0,0
601,9,26,1,15,0,1.0,0
602,A,19,0,17,0,-1.0,1
603,8,22,1,15,0,1.0,0
604,10,19,0,12,0,-1.0,1
605,9,21,0,18,0,-1.0,1
606,7,18,0,12,0,-1.0,1
607,9,26,1,7,1,1.0,1
608,4,18,0,14,0,-1.0,1
609,6,18,0,14,0,-1.0,1
610,A,21,0,13,0,-1.0,1
611,K,18,0,14,0,-1.0,1
612,7,17,0,10,0,-1.0,1
613,9,18,0,21,0,1.0,0
614,2,21,0,8,0,-1.0,1
615,5,18,0,18,0,0.0,0
616,8,18,0,10,0,-1.0,1
617,7,17,0,20,0,1.0,0
618,Q,19,0,17,0,-1.0,1
619,6,26,1,5,1,1.0,1
620,4,17,0,12,0,-1.0,1
621,K,18,0,20,0,1.0,0
622,A,20,0,20,0,0.0,0
623,2,17,0,12,0,-1.0,1
624,J,20,0,12,0,-1.0,1
625,3,23,1,13,0,1.0,0
626,10,22,1,10,0,1.0,0
627,10,19,0,16,0,-1.0,1
628,2,25,1,11,0,1.0,0
629,A,20,0,19,0,-1.0,1
630,A,19,0,21,0,1.0,0
631,2,19,0,10,0,-1.0,1
632,4,23,1,19,0,1.0,0
633,9,21,0,7,0,-1.0,1
634,3,23,1,19,0,1.0,0
635,10,18,0,12,0,-1.0,1
636,2,23,1,20,0,1.0,0
637,3,24,1,14,0,1.0,0
638,J,18,0,17,0,-1.0,1
639,10,20,0,13,0,-1.0,1
640,4,26,1,10,1,1.0,1
641,4,19,0,18,0,-1.0,1
642,8,22,1,9,0,1.0,0
643,8,18,0,12,0,-1.0,1
644,6,19,0,18,0,-1.0,1
645,3,25,1,19,0,1.0,0
646,J,20,0,17,0,-1.0,1
